"Content Identifier","Information Package Iri","Iri","ASM Document Iri","Measurement Aggregate Iri","Measurement Iri","Sample Iri","Thermal Analyzer Aggregate Iri","Thermal Analyzer Iri"
"provenance:/instruments/ZONTAL/S3_Mock_Instrument/JHHI1735/raw/PCID1735/DSC_Data/Excipients-n002-00468_05_DSC_film.tri","https://zontaldev.jnj.com/api/informationPackages/05eedf3951764928b50da537245d12","urn:uuid:3cab091c-3b4c-4aa3-b9ae-38624f319b55","urn:uuid:3c9afc1b-5074-4c4d-87c2-580dd303b002",None,None,None,"urn:uuid:738bc071-f452-4289-ac61-d9ddc5deee43",None
"provenance:/instruments/ZONTAL/S3_Mock_Instrument/JHHI1735/raw/PCID1735/DSC_Data/Excipients-n002-00468_05_DSC_film.tri","https://zontaldev.jnj.com/api/informationPackages/05eedf3951764928b50da537245d12","urn:uuid:898e3bc7-d45a-4a6f-ae52-a1cf8ca7e471","urn:uuid:3c9afc1b-5074-4c4d-87c2-580dd303b002",None,None,None,"urn:uuid:738bc071-f452-4289-ac61-d9ddc5deee43","urn:uuid:3901351c-8298-4f67-b461-bb17d7535df2"
