"Content Identifier","Information Package Iri","Iri","ASM Document Iri","Custom Information Aggregate Iri","Datum Label","Index","Measurement Aggregate Iri","Measurement Iri","Sample Iri","Scalar Double Datum","Scalar String Datum","Thermal Analyzer Aggregate Iri","Thermal Analyzer Iri"
"provenance:/instruments/ZONTAL/S3_Mock_Instrument/JHHI1735/raw/PCID1735/DSC_Data/Excipients-n002-00468_05_DSC_film.tri","https://zontaldev.jnj.com/api/informationPackages/05eedf3951764928b50da537245d12","urn:uuid:5a081af8-2201-4fa6-9161-a3235636e4fd","urn:uuid:3c9afc1b-5074-4c4d-87c2-580dd303b002","urn:uuid:3cab091c-3b4c-4aa3-b9ae-38624f319b55","instrument name",0,None,None,None,None,"DSC PDMS-THA-011 (192.168.1.10)","urn:uuid:738bc071-f452-4289-ac61-d9ddc5deee43",None
"provenance:/instruments/ZONTAL/S3_Mock_Instrument/JHHI1735/raw/PCID1735/DSC_Data/Excipients-n002-00468_05_DSC_film.tri","https://zontaldev.jnj.com/api/informationPackages/05eedf3951764928b50da537245d12","urn:uuid:8eebb5c7-9df5-4b52-9f9a-c082143e151a","urn:uuid:3c9afc1b-5074-4c4d-87c2-580dd303b002","urn:uuid:898e3bc7-d45a-4a6f-ae52-a1cf8ca7e471","procedure segments",0,None,None,None,None,"Data Off ; Equilibrate -40.00 °C; Isothermal 1.0 min; Data On ; Ramp 10.00 °C/min to 250.00 °C","urn:uuid:738bc071-f452-4289-ac61-d9ddc5deee43","urn:uuid:3901351c-8298-4f67-b461-bb17d7535df2"
"provenance:/instruments/ZONTAL/S3_Mock_Instrument/JHHI1735/raw/PCID1735/DSC_Data/Excipients-n002-00468_05_DSC_film.tri","https://zontaldev.jnj.com/api/informationPackages/05eedf3951764928b50da537245d12","urn:uuid:cb31e4c4-c1fa-4772-9c35-3552a2c0f02b","urn:uuid:3c9afc1b-5074-4c4d-87c2-580dd303b002","urn:uuid:898e3bc7-d45a-4a6f-ae52-a1cf8ca7e471","test type",1,None,None,None,None,"StandardCustom","urn:uuid:738bc071-f452-4289-ac61-d9ddc5deee43","urn:uuid:3901351c-8298-4f67-b461-bb17d7535df2"
"provenance:/instruments/ZONTAL/S3_Mock_Instrument/JHHI1735/raw/PCID1735/DSC_Data/Excipients-n002-00468_05_DSC_film.tri","https://zontaldev.jnj.com/api/informationPackages/05eedf3951764928b50da537245d12","urn:uuid:750d737d-5682-483d-ad27-e0fc1d526e95","urn:uuid:3c9afc1b-5074-4c4d-87c2-580dd303b002","urn:uuid:898e3bc7-d45a-4a6f-ae52-a1cf8ca7e471","device method identifier",2,None,None,None,None,"79ea1ddc-534d-4b3f-9675-e3593be57672","urn:uuid:738bc071-f452-4289-ac61-d9ddc5deee43","urn:uuid:3901351c-8298-4f67-b461-bb17d7535df2"
