Environment;Object;Role Index;Role;Privilege Index;Privilege;Value
devinternal;GxP Request Privileges;7;Disc Pharm User;5;Export;0
devinternal;GxP Request Privileges;7;Disc Pharm User;6;Share;0
devinternal;GxP Request Privileges;7;Disc Pharm User;7;Read Dependent Share;0
devinternal;GxP Request Privileges;7;Disc Pharm User;8;Trash;0
devinternal;GxP Request Privileges;7;Disc Pharm User;9;Share Templates;0
devinternal;GxP Request Privileges;7;Disc Pharm User;10;Add Reviewers and Keep Open;0
devinternal;GxP Request Privileges;7;Disc Pharm User;11;Sign and Add Reviewers;0
devinternal;GxP Request Privileges;7;Disc Pharm User;12;Sign and Keep Open;0
devinternal;GxP Request Privileges;7;Disc Pharm User;13;Void;0
devinternal;GxP Request Privileges;7;Disc Pharm User;14;Sign and Close Without Witnessing;0
devinternal;GxP Request Privileges;7;Disc Pharm User;15;Two Stage Review;0
devinternal;GxP Request Privileges;7;Disc Pharm User;16;Close Without Signing;0
devinternal;GxP Request Privileges;7;Disc Pharm User;17;Approve;0
devinternal;GxP Request Privileges;8;FL-Approver;1;View;0
devinternal;GxP Request Privileges;8;FL-Approver;2;Add;0
devinternal;GxP Request Privileges;8;FL-Approver;3;Edit;0
devinternal;GxP Request Privileges;8;FL-Approver;4;Move;0
devinternal;GxP Request Privileges;8;FL-Approver;5;Export;0
devinternal;GxP Request Privileges;8;FL-Approver;6;Share;0
devinternal;GxP Request Privileges;8;FL-Approver;7;Read Dependent Share;0
devinternal;GxP Request Privileges;8;FL-Approver;8;Trash;0
devinternal;GxP Request Privileges;8;FL-Approver;9;Share Templates;0
devinternal;GxP Request Privileges;8;FL-Approver;10;Add Reviewers and Keep Open;0
devinternal;GxP Request Privileges;8;FL-Approver;11;Sign and Add Reviewers;0
devinternal;GxP Request Privileges;8;FL-Approver;12;Sign and Keep Open;0
devinternal;GxP Request Privileges;8;FL-Approver;13;Void;0
devinternal;GxP Request Privileges;8;FL-Approver;14;Sign and Close Without Witnessing;0
devinternal;GxP Request Privileges;8;FL-Approver;15;Two Stage Review;0
devinternal;GxP Request Privileges;8;FL-Approver;16;Close Without Signing;0
devinternal;GxP Request Privileges;8;FL-Approver;17;Approve;0
devinternal;GxP Request Privileges;9;FL-Archivist;1;View;0
devinternal;GxP Request Privileges;9;FL-Archivist;2;Add;0
devinternal;GxP Request Privileges;9;FL-Archivist;3;Edit;0
devinternal;GxP Request Privileges;9;FL-Archivist;4;Move;0
devinternal;GxP Request Privileges;9;FL-Archivist;5;Export;0
devinternal;GxP Request Privileges;9;FL-Archivist;6;Share;0
devinternal;GxP Request Privileges;9;FL-Archivist;7;Read Dependent Share;0
devinternal;GxP Request Privileges;9;FL-Archivist;8;Trash;0
devinternal;GxP Request Privileges;9;FL-Archivist;9;Share Templates;0
devinternal;GxP Request Privileges;9;FL-Archivist;10;Add Reviewers and Keep Open;0
devinternal;GxP Request Privileges;9;FL-Archivist;11;Sign and Add Reviewers;0
devinternal;GxP Request Privileges;9;FL-Archivist;12;Sign and Keep Open;0
devinternal;GxP Request Privileges;9;FL-Archivist;13;Void;0
devinternal;GxP Request Privileges;9;FL-Archivist;14;Sign and Close Without Witnessing;0
devinternal;GxP Request Privileges;9;FL-Archivist;15;Two Stage Review;0
devinternal;GxP Request Privileges;9;FL-Archivist;16;Close Without Signing;0
devinternal;GxP Request Privileges;9;FL-Archivist;17;Approve;0
devinternal;GxP Request Privileges;10;FL-Author;1;View;0
devinternal;GxP Request Privileges;10;FL-Author;2;Add;0
devinternal;GxP Request Privileges;10;FL-Author;3;Edit;0
devinternal;GxP Request Privileges;10;FL-Author;4;Move;0
devinternal;GxP Request Privileges;10;FL-Author;5;Export;0
devinternal;GxP Request Privileges;10;FL-Author;6;Share;0
devinternal;GxP Request Privileges;10;FL-Author;7;Read Dependent Share;0
devinternal;GxP Request Privileges;10;FL-Author;8;Trash;0
devinternal;GxP Request Privileges;10;FL-Author;9;Share Templates;0
devinternal;GxP Request Privileges;10;FL-Author;10;Add Reviewers and Keep Open;0
devinternal;GxP Request Privileges;10;FL-Author;11;Sign and Add Reviewers;0
devinternal;GxP Request Privileges;10;FL-Author;12;Sign and Keep Open;0
devinternal;GxP Request Privileges;10;FL-Author;13;Void;0
devinternal;GxP Request Privileges;10;FL-Author;14;Sign and Close Without Witnessing;0
devinternal;GxP Request Privileges;10;FL-Author;15;Two Stage Review;0
devinternal;GxP Request Privileges;10;FL-Author;16;Close Without Signing;0
devinternal;GxP Request Privileges;10;FL-Author;17;Approve;0
devinternal;GxP Request Privileges;11;Gxp Recipe Builder;1;View;0
devinternal;GxP Request Privileges;11;Gxp Recipe Builder;2;Add;0
devinternal;GxP Request Privileges;11;Gxp Recipe Builder;3;Edit;0
devinternal;GxP Request Privileges;11;Gxp Recipe Builder;4;Move;0
devinternal;GxP Request Privileges;11;Gxp Recipe Builder;5;Export;0
devinternal;GxP Request Privileges;11;Gxp Recipe Builder;6;Share;0
devinternal;GxP Request Privileges;11;Gxp Recipe Builder;7;Read Dependent Share;0
devinternal;GxP Request Privileges;11;Gxp Recipe Builder;8;Trash;0
devinternal;GxP Request Privileges;11;Gxp Recipe Builder;9;Share Templates;0
devinternal;GxP Request Privileges;11;Gxp Recipe Builder;10;Add Reviewers and Keep Open;0
devinternal;GxP Request Privileges;11;Gxp Recipe Builder;11;Sign and Add Reviewers;0
devinternal;GxP Request Privileges;11;Gxp Recipe Builder;12;Sign and Keep Open;0
devinternal;GxP Request Privileges;11;Gxp Recipe Builder;13;Void;0
devinternal;GxP Request Privileges;11;Gxp Recipe Builder;14;Sign and Close Without Witnessing;0
devinternal;GxP Request Privileges;11;Gxp Recipe Builder;15;Two Stage Review;0
devinternal;GxP Request Privileges;11;Gxp Recipe Builder;16;Close Without Signing;0
devinternal;GxP Request Privileges;11;Gxp Recipe Builder;17;Approve;0
devinternal;GxP Request Privileges;12;GxP Std User;1;View;1
devinternal;GxP Request Privileges;12;GxP Std User;2;Add;1
devinternal;GxP Request Privileges;12;GxP Std User;3;Edit;1
devinternal;GxP Request Privileges;12;GxP Std User;4;Move;0
devinternal;GxP Request Privileges;12;GxP Std User;5;Export;1
devinternal;GxP Request Privileges;12;GxP Std User;6;Share;0
devinternal;GxP Request Privileges;12;GxP Std User;7;Read Dependent Share;1
devinternal;GxP Request Privileges;12;GxP Std User;8;Trash;0
devinternal;GxP Request Privileges;12;GxP Std User;9;Share Templates;0
devinternal;GxP Request Privileges;12;GxP Std User;10;Add Reviewers and Keep Open;0
devinternal;GxP Request Privileges;12;GxP Std User;11;Sign and Add Reviewers;0
devinternal;GxP Request Privileges;12;GxP Std User;12;Sign and Keep Open;0
devinternal;GxP Request Privileges;12;GxP Std User;13;Void;1
devinternal;GxP Request Privileges;12;GxP Std User;14;Sign and Close Without Witnessing;0
devinternal;GxP Request Privileges;12;GxP Std User;15;Two Stage Review;0
devinternal;GxP Request Privileges;12;GxP Std User;16;Close Without Signing;1
devinternal;GxP Request Privileges;12;GxP Std User;17;Approve;0
devinternal;GxP Request Privileges;13;GxP Superuser;1;View;0
devinternal;GxP Request Privileges;13;GxP Superuser;2;Add;0
devinternal;GxP Request Privileges;13;GxP Superuser;3;Edit;0
devinternal;GxP Request Privileges;13;GxP Superuser;4;Move;0
devinternal;GxP Request Privileges;13;GxP Superuser;5;Export;0
devinternal;GxP Request Privileges;13;GxP Superuser;6;Share;0
devinternal;GxP Request Privileges;13;GxP Superuser;7;Read Dependent Share;0
devinternal;GxP Request Privileges;13;GxP Superuser;8;Trash;0
devinternal;GxP Request Privileges;13;GxP Superuser;9;Share Templates;0
devinternal;GxP Request Privileges;13;GxP Superuser;10;Add Reviewers and Keep Open;0
devinternal;GxP Request Privileges;13;GxP Superuser;11;Sign and Add Reviewers;0
devinternal;GxP Request Privileges;13;GxP Superuser;12;Sign and Keep Open;0
devinternal;GxP Request Privileges;13;GxP Superuser;13;Void;0
devinternal;GxP Request Privileges;13;GxP Superuser;14;Sign and Close Without Witnessing;0
devinternal;GxP Request Privileges;13;GxP Superuser;15;Two Stage Review;0
devinternal;GxP Request Privileges;13;GxP Superuser;16;Close Without Signing;0
devinternal;GxP Request Privileges;13;GxP Superuser;17;Approve;0
devinternal;GxP Request Privileges;14;Gxp-Active Directory Sync Test Role;1;View;0
devinternal;GxP Request Privileges;14;Gxp-Active Directory Sync Test Role;2;Add;0
devinternal;GxP Request Privileges;14;Gxp-Active Directory Sync Test Role;3;Edit;0
devinternal;GxP Request Privileges;14;Gxp-Active Directory Sync Test Role;4;Move;0
devinternal;GxP Request Privileges;14;Gxp-Active Directory Sync Test Role;5;Export;0
devinternal;GxP Request Privileges;14;Gxp-Active Directory Sync Test Role;6;Share;0
devinternal;GxP Request Privileges;14;Gxp-Active Directory Sync Test Role;7;Read Dependent Share;0
devinternal;GxP Request Privileges;14;Gxp-Active Directory Sync Test Role;8;Trash;0
devinternal;GxP Request Privileges;14;Gxp-Active Directory Sync Test Role;9;Share Templates;0
devinternal;GxP Request Privileges;14;Gxp-Active Directory Sync Test Role;10;Add Reviewers and Keep Open;0
devinternal;GxP Request Privileges;14;Gxp-Active Directory Sync Test Role;11;Sign and Add Reviewers;0
devinternal;GxP Request Privileges;14;Gxp-Active Directory Sync Test Role;12;Sign and Keep Open;0
devinternal;GxP Request Privileges;14;Gxp-Active Directory Sync Test Role;13;Void;0
devinternal;GxP Request Privileges;14;Gxp-Active Directory Sync Test Role;14;Sign and Close Without Witnessing;0
devinternal;GxP Request Privileges;14;Gxp-Active Directory Sync Test Role;15;Two Stage Review;0
devinternal;GxP Request Privileges;14;Gxp-Active Directory Sync Test Role;16;Close Without Signing;0
devinternal;GxP Request Privileges;14;Gxp-Active Directory Sync Test Role;17;Approve;0
devinternal;GxP Request Privileges;15;HELM User;1;View;0
devinternal;GxP Request Privileges;15;HELM User;2;Add;0
devinternal;GxP Request Privileges;15;HELM User;3;Edit;0
devinternal;GxP Request Privileges;15;HELM User;4;Move;0
devinternal;GxP Request Privileges;15;HELM User;5;Export;0
devinternal;GxP Request Privileges;15;HELM User;6;Share;0
devinternal;GxP Request Privileges;15;HELM User;7;Read Dependent Share;0
devinternal;GxP Request Privileges;15;HELM User;8;Trash;0
devinternal;GxP Request Privileges;15;HELM User;9;Share Templates;0
devinternal;GxP Request Privileges;15;HELM User;10;Add Reviewers and Keep Open;0
devinternal;GxP Request Privileges;15;HELM User;11;Sign and Add Reviewers;0
devinternal;GxP Request Privileges;15;HELM User;12;Sign and Keep Open;0
devinternal;GxP Request Privileges;15;HELM User;13;Void;0
devinternal;GxP Request Privileges;15;HELM User;14;Sign and Close Without Witnessing;0
devinternal;GxP Request Privileges;15;HELM User;15;Two Stage Review;0
devinternal;GxP Request Privileges;15;HELM User;16;Close Without Signing;0
devinternal;GxP Request Privileges;15;HELM User;17;Approve;0
devinternal;GxP Request Privileges;16;Janssen Internal User;1;View;0
devinternal;GxP Request Privileges;16;Janssen Internal User;2;Add;0
devinternal;GxP Request Privileges;16;Janssen Internal User;3;Edit;0
devinternal;GxP Request Privileges;16;Janssen Internal User;4;Move;0
devinternal;GxP Request Privileges;16;Janssen Internal User;5;Export;0
devinternal;GxP Request Privileges;16;Janssen Internal User;6;Share;0
devinternal;GxP Request Privileges;16;Janssen Internal User;7;Read Dependent Share;0
devinternal;GxP Request Privileges;16;Janssen Internal User;8;Trash;0
devinternal;GxP Request Privileges;16;Janssen Internal User;9;Share Templates;0
devinternal;GxP Request Privileges;16;Janssen Internal User;10;Add Reviewers and Keep Open;0
devinternal;GxP Request Privileges;16;Janssen Internal User;11;Sign and Add Reviewers;0
devinternal;GxP Request Privileges;16;Janssen Internal User;12;Sign and Keep Open;0
devinternal;GxP Request Privileges;16;Janssen Internal User;13;Void;0
devinternal;GxP Request Privileges;16;Janssen Internal User;14;Sign and Close Without Witnessing;0
devinternal;GxP Request Privileges;16;Janssen Internal User;15;Two Stage Review;0
devinternal;GxP Request Privileges;16;Janssen Internal User;16;Close Without Signing;0
devinternal;GxP Request Privileges;16;Janssen Internal User;17;Approve;0
devinternal;GxP Request Privileges;17;LAC User;1;View;0
devinternal;GxP Request Privileges;17;LAC User;2;Add;0
devinternal;GxP Request Privileges;17;LAC User;3;Edit;0
devinternal;GxP Request Privileges;17;LAC User;4;Move;0
devinternal;GxP Request Privileges;17;LAC User;5;Export;0
devinternal;GxP Request Privileges;17;LAC User;6;Share;0
devinternal;GxP Request Privileges;17;LAC User;7;Read Dependent Share;0
devinternal;GxP Request Privileges;17;LAC User;8;Trash;0
devinternal;GxP Request Privileges;17;LAC User;9;Share Templates;0
devinternal;GxP Request Privileges;17;LAC User;10;Add Reviewers and Keep Open;0
devinternal;GxP Request Privileges;17;LAC User;11;Sign and Add Reviewers;0
devinternal;GxP Request Privileges;17;LAC User;12;Sign and Keep Open;0
devinternal;GxP Request Privileges;17;LAC User;13;Void;0
devinternal;GxP Request Privileges;17;LAC User;14;Sign and Close Without Witnessing;0
devinternal;GxP Request Privileges;17;LAC User;15;Two Stage Review;0
devinternal;GxP Request Privileges;17;LAC User;16;Close Without Signing;0
devinternal;GxP Request Privileges;17;LAC User;17;Approve;0
devinternal;GxP Request Privileges;18;ML Key User;1;View;0
devinternal;GxP Request Privileges;18;ML Key User;2;Add;0
devinternal;GxP Request Privileges;18;ML Key User;3;Edit;0
devinternal;GxP Request Privileges;18;ML Key User;4;Move;0
devinternal;GxP Request Privileges;18;ML Key User;5;Export;0
devinternal;GxP Request Privileges;18;ML Key User;6;Share;0
devinternal;GxP Request Privileges;18;ML Key User;7;Read Dependent Share;0
devinternal;GxP Request Privileges;18;ML Key User;8;Trash;0
devinternal;GxP Request Privileges;18;ML Key User;9;Share Templates;0
devinternal;GxP Request Privileges;18;ML Key User;10;Add Reviewers and Keep Open;0
devinternal;GxP Request Privileges;18;ML Key User;11;Sign and Add Reviewers;0
devinternal;GxP Request Privileges;18;ML Key User;12;Sign and Keep Open;0
devinternal;GxP Request Privileges;18;ML Key User;13;Void;0
devinternal;GxP Request Privileges;18;ML Key User;14;Sign and Close Without Witnessing;0
devinternal;GxP Request Privileges;18;ML Key User;15;Two Stage Review;0
devinternal;GxP Request Privileges;18;ML Key User;16;Close Without Signing;0
devinternal;GxP Request Privileges;18;ML Key User;17;Approve;0
devinternal;GxP Request Privileges;19;Non-GxP Standard User;1;View;0
devinternal;GxP Request Privileges;19;Non-GxP Standard User;2;Add;0
devinternal;GxP Request Privileges;19;Non-GxP Standard User;3;Edit;0
devinternal;GxP Request Privileges;19;Non-GxP Standard User;4;Move;0
devinternal;GxP Request Privileges;19;Non-GxP Standard User;5;Export;0
devinternal;GxP Request Privileges;19;Non-GxP Standard User;6;Share;0
devinternal;GxP Request Privileges;19;Non-GxP Standard User;7;Read Dependent Share;0
devinternal;GxP Request Privileges;19;Non-GxP Standard User;8;Trash;0
devinternal;GxP Request Privileges;19;Non-GxP Standard User;9;Share Templates;0
devinternal;GxP Request Privileges;19;Non-GxP Standard User;10;Add Reviewers and Keep Open;0
devinternal;GxP Request Privileges;19;Non-GxP Standard User;11;Sign and Add Reviewers;0
devinternal;GxP Request Privileges;19;Non-GxP Standard User;12;Sign and Keep Open;0
devinternal;GxP Request Privileges;19;Non-GxP Standard User;13;Void;0
devinternal;GxP Request Privileges;19;Non-GxP Standard User;14;Sign and Close Without Witnessing;0
devinternal;GxP Request Privileges;19;Non-GxP Standard User;15;Two Stage Review;0
devinternal;GxP Request Privileges;19;Non-GxP Standard User;16;Close Without Signing;0
devinternal;GxP Request Privileges;19;Non-GxP Standard User;17;Approve;0
devinternal;GxP Request Privileges;20;PMP test;1;View;0
devinternal;GxP Request Privileges;20;PMP test;2;Add;0
devinternal;GxP Request Privileges;20;PMP test;3;Edit;0
devinternal;GxP Request Privileges;20;PMP test;4;Move;0
devinternal;GxP Request Privileges;20;PMP test;5;Export;0
devinternal;GxP Request Privileges;20;PMP test;6;Share;0
devinternal;GxP Request Privileges;20;PMP test;7;Read Dependent Share;0
devinternal;GxP Request Privileges;20;PMP test;8;Trash;0
devinternal;GxP Request Privileges;20;PMP test;9;Share Templates;0
devinternal;GxP Request Privileges;20;PMP test;10;Add Reviewers and Keep Open;0
devinternal;GxP Request Privileges;20;PMP test;11;Sign and Add Reviewers;0
devinternal;GxP Request Privileges;20;PMP test;12;Sign and Keep Open;0
devinternal;GxP Request Privileges;20;PMP test;13;Void;0
devinternal;GxP Request Privileges;20;PMP test;14;Sign and Close Without Witnessing;0
devinternal;GxP Request Privileges;20;PMP test;15;Two Stage Review;0
devinternal;GxP Request Privileges;20;PMP test;16;Close Without Signing;0
devinternal;GxP Request Privileges;20;PMP test;17;Approve;0
devinternal;GxP Request Privileges;21;ReseachCenterManager;1;View;0
devinternal;GxP Request Privileges;21;ReseachCenterManager;2;Add;0
