Environment;Object;Role Index;Role;Privilege Index;Privilege;Value
devinternal;Experiment Privileges;8;FL-Approver;2;Share Templates;0
devinternal;Experiment Privileges;8;FL-Approver;3;Move Experiments;0
devinternal;Experiment Privileges;8;FL-Approver;4;Trash Experiments;0
devinternal;Experiment Privileges;8;FL-Approver;5;Add Reviewers and Keep OpenExperiments;0
devinternal;Experiment Privileges;8;FL-Approver;6;Sign and Add ReviewersExperiments;0
devinternal;Experiment Privileges;8;FL-Approver;7;Sign and Keep Open Experiments;0
devinternal;Experiment Privileges;8;FL-Approver;8;Void Experiments;0
devinternal;Experiment Privileges;8;FL-Approver;9;Sign and Close Without WitnessingExperiments;0
devinternal;Experiment Privileges;8;FL-Approver;10;Close Without SigningExperiments;0
devinternal;Experiment Privileges;8;FL-Approver;11;Two Stage Review Experiments;0
devinternal;Experiment Privileges;8;FL-Approver;12;Approve Experiments;0
devinternal;Experiment Privileges;9;FL-Archivist;1;Share;0
devinternal;Experiment Privileges;9;FL-Archivist;2;Share Templates;0
devinternal;Experiment Privileges;9;FL-Archivist;3;Move Experiments;0
devinternal;Experiment Privileges;9;FL-Archivist;4;Trash Experiments;0
devinternal;Experiment Privileges;9;FL-Archivist;5;Add Reviewers and Keep OpenExperiments;0
devinternal;Experiment Privileges;9;FL-Archivist;6;Sign and Add ReviewersExperiments;0
devinternal;Experiment Privileges;9;FL-Archivist;7;Sign and Keep Open Experiments;0
devinternal;Experiment Privileges;9;FL-Archivist;8;Void Experiments;0
devinternal;Experiment Privileges;9;FL-Archivist;9;Sign and Close Without WitnessingExperiments;0
devinternal;Experiment Privileges;9;FL-Archivist;10;Close Without SigningExperiments;0
devinternal;Experiment Privileges;9;FL-Archivist;11;Two Stage Review Experiments;0
devinternal;Experiment Privileges;9;FL-Archivist;12;Approve Experiments;0
devinternal;Experiment Privileges;10;FL-Author;1;Share;0
devinternal;Experiment Privileges;10;FL-Author;2;Share Templates;0
devinternal;Experiment Privileges;10;FL-Author;3;Move Experiments;0
devinternal;Experiment Privileges;10;FL-Author;4;Trash Experiments;0
devinternal;Experiment Privileges;10;FL-Author;5;Add Reviewers and Keep OpenExperiments;0
devinternal;Experiment Privileges;10;FL-Author;6;Sign and Add ReviewersExperiments;0
devinternal;Experiment Privileges;10;FL-Author;7;Sign and Keep Open Experiments;0
devinternal;Experiment Privileges;10;FL-Author;8;Void Experiments;0
devinternal;Experiment Privileges;10;FL-Author;9;Sign and Close Without WitnessingExperiments;0
devinternal;Experiment Privileges;10;FL-Author;10;Close Without SigningExperiments;0
devinternal;Experiment Privileges;10;FL-Author;11;Two Stage Review Experiments;0
devinternal;Experiment Privileges;10;FL-Author;12;Approve Experiments;0
devinternal;Experiment Privileges;11;Gxp Recipe Builder;1;Share;1
devinternal;Experiment Privileges;11;Gxp Recipe Builder;2;Share Templates;0
devinternal;Experiment Privileges;11;Gxp Recipe Builder;3;Move Experiments;0
devinternal;Experiment Privileges;11;Gxp Recipe Builder;4;Trash Experiments;0
devinternal;Experiment Privileges;11;Gxp Recipe Builder;5;Add Reviewers and Keep OpenExperiments;0
devinternal;Experiment Privileges;11;Gxp Recipe Builder;6;Sign and Add ReviewersExperiments;0
devinternal;Experiment Privileges;11;Gxp Recipe Builder;7;Sign and Keep Open Experiments;0
devinternal;Experiment Privileges;11;Gxp Recipe Builder;8;Void Experiments;0
