Environment;Object;Role Index;Role;Privilege Index;Privilege;Value
jnj-test;GxP Experiment Privileges;6;FL-Archivist;8;Trash;0
jnj-test;GxP Experiment Privileges;6;FL-Archivist;9;Share Templates;0
jnj-test;GxP Experiment Privileges;6;FL-Archivist;10;Add Reviewers and Keep Open;0
jnj-test;GxP Experiment Privileges;6;FL-Archivist;11;Sign and Add Reviewers;0
jnj-test;GxP Experiment Privileges;6;FL-Archivist;12;Sign and Keep Open;0
jnj-test;GxP Experiment Privileges;6;FL-Archivist;13;Void;0
jnj-test;GxP Experiment Privileges;6;FL-Archivist;14;Sign and Close Without Witnessing;0
jnj-test;GxP Experiment Privileges;6;FL-Archivist;15;Two Stage Review;0
jnj-test;GxP Experiment Privileges;6;FL-Archivist;16;Close Without Signing;0
jnj-test;GxP Experiment Privileges;6;FL-Archivist;17;Approve;0
jnj-test;GxP Experiment Privileges;7;FL-Author;1;View;0
jnj-test;GxP Experiment Privileges;7;FL-Author;2;Add;0
jnj-test;GxP Experiment Privileges;7;FL-Author;3;Edit;0
jnj-test;GxP Experiment Privileges;7;FL-Author;4;Move;0
jnj-test;GxP Experiment Privileges;7;FL-Author;5;Export;0
jnj-test;GxP Experiment Privileges;7;FL-Author;6;Share;0
jnj-test;GxP Experiment Privileges;7;FL-Author;7;Read Dependent Share;0
jnj-test;GxP Experiment Privileges;7;FL-Author;8;Trash;0
jnj-test;GxP Experiment Privileges;7;FL-Author;9;Share Templates;0
jnj-test;GxP Experiment Privileges;7;FL-Author;10;Add Reviewers and Keep Open;0
jnj-test;GxP Experiment Privileges;7;FL-Author;11;Sign and Add Reviewers;0
jnj-test;GxP Experiment Privileges;7;FL-Author;12;Sign and Keep Open;0
jnj-test;GxP Experiment Privileges;7;FL-Author;13;Void;0
jnj-test;GxP Experiment Privileges;7;FL-Author;14;Sign and Close Without Witnessing;0
jnj-test;GxP Experiment Privileges;7;FL-Author;15;Two Stage Review;0
jnj-test;GxP Experiment Privileges;7;FL-Author;16;Close Without Signing;0
jnj-test;GxP Experiment Privileges;7;FL-Author;17;Approve;0
jnj-test;GxP Experiment Privileges;8;GxP Std User;1;View;1
