"Content Identifier","Information Package Iri","Iri","ASM Document Iri","Custom Information Aggregate Iri","Datum Label","Index","Measurement Aggregate Iri","Measurement Iri","Sample Iri","Scalar Double Datum","Scalar String Datum","Thermal Analyzer Aggregate Iri","Thermal Analyzer Iri"
"provenance:/instruments/ZONTAL/S3_Mock_Instrument/JHHI1735/raw/PCID1735/DSC_Data/Mn2300 (PLD)_E350080_DSC-M01_01.tri","https://zontaldev.jnj.com/api/informationPackages/dd3838bb75e44e8e804aab75821ab4","urn:uuid:35d8344d-bea7-4cc6-89b7-34843793df29","urn:uuid:7b95752b-3d5a-4722-b6bc-3660c8f46196","urn:uuid:fc796880-b3bd-4e0d-ad0c-fee326908d44","instrument name",0,None,None,None,None,"DSC PDMS-THA-011 (192.168.1.10)","urn:uuid:1ecc3b4a-6098-4aa4-b018-f3b339446886",None
"provenance:/instruments/ZONTAL/S3_Mock_Instrument/JHHI1735/raw/PCID1735/DSC_Data/Mn2300 (PLD)_E350080_DSC-M01_01.tri","https://zontaldev.jnj.com/api/informationPackages/dd3838bb75e44e8e804aab75821ab4","urn:uuid:c7f0025d-dc5a-436b-ac43-ec090e6fd54d","urn:uuid:7b95752b-3d5a-4722-b6bc-3660c8f46196","urn:uuid:8167f885-aaa6-4609-94d6-8aef086e17cb","procedure segments",0,None,None,None,None,"Data Off ; Equilibrate -50.00 °C; Isothermal 2.0 min; Data On ; Ramp 10.00 °C/min to 90.00 °C; Isothermal 120.0 min; Ramp 10.00 °C/min to -50.00 °C; Isothermal 2.0 min; Ramp 10.00 °C/min to 90.00 °C; Isothermal 120.0 min; Ramp 10.00 °C/min to -50.00 °C; Isothermal 2.0 min; Ramp 10.00 °C/min to 120.00 °C","urn:uuid:1ecc3b4a-6098-4aa4-b018-f3b339446886","urn:uuid:c03f8539-51f9-4e46-b577-9e4bdc559e48"
"provenance:/instruments/ZONTAL/S3_Mock_Instrument/JHHI1735/raw/PCID1735/DSC_Data/Mn2300 (PLD)_E350080_DSC-M01_01.tri","https://zontaldev.jnj.com/api/informationPackages/dd3838bb75e44e8e804aab75821ab4","urn:uuid:ea42cae1-71c6-4ab3-b731-7b0ddcc09ee4","urn:uuid:7b95752b-3d5a-4722-b6bc-3660c8f46196","urn:uuid:8167f885-aaa6-4609-94d6-8aef086e17cb","test type",1,None,None,None,None,"StandardCustom","urn:uuid:1ecc3b4a-6098-4aa4-b018-f3b339446886","urn:uuid:c03f8539-51f9-4e46-b577-9e4bdc559e48"
"provenance:/instruments/ZONTAL/S3_Mock_Instrument/JHHI1735/raw/PCID1735/DSC_Data/Mn2300 (PLD)_E350080_DSC-M01_01.tri","https://zontaldev.jnj.com/api/informationPackages/dd3838bb75e44e8e804aab75821ab4","urn:uuid:a4eaf579-339b-4c15-986a-d9ed9c91214b","urn:uuid:7b95752b-3d5a-4722-b6bc-3660c8f46196","urn:uuid:8167f885-aaa6-4609-94d6-8aef086e17cb","device method identifier",2,None,None,None,None,"9ae85986-4a4d-4911-a0f3-110a9f158b97","urn:uuid:1ecc3b4a-6098-4aa4-b018-f3b339446886","urn:uuid:c03f8539-51f9-4e46-b577-9e4bdc559e48"
