"Content Identifier","Information Package Iri","Iri","ASM Document Iri","Measurement Aggregate Iri","Measurement Iri","Sample Iri","Thermal Analyzer Aggregate Iri","Thermal Analyzer Iri"
"provenance:/instruments/ZONTAL/S3_Mock_Instrument/JHHI1735/raw/PCID1735/DSC_Data/Mn2300 (PLD)_E350080_DSC-M01_01.tri","https://zontaldev.jnj.com/api/informationPackages/dd3838bb75e44e8e804aab75821ab4","urn:uuid:fc796880-b3bd-4e0d-ad0c-fee326908d44","urn:uuid:7b95752b-3d5a-4722-b6bc-3660c8f46196",None,None,None,"urn:uuid:1ecc3b4a-6098-4aa4-b018-f3b339446886",None
"provenance:/instruments/ZONTAL/S3_Mock_Instrument/JHHI1735/raw/PCID1735/DSC_Data/Mn2300 (PLD)_E350080_DSC-M01_01.tri","https://zontaldev.jnj.com/api/informationPackages/dd3838bb75e44e8e804aab75821ab4","urn:uuid:8167f885-aaa6-4609-94d6-8aef086e17cb","urn:uuid:7b95752b-3d5a-4722-b6bc-3660c8f46196",None,None,None,"urn:uuid:1ecc3b4a-6098-4aa4-b018-f3b339446886","urn:uuid:c03f8539-51f9-4e46-b577-9e4bdc559e48"
